Bank/FI,Name,Interest Rate,Minimum Balance,Tenure
Global IME,Fixed Deposit-1Yto<2Y,5.00%,0,1 year
Global IME Bank,,,,
Muktinath,Fixed Deposit-9Mto<1Y,5.00%,0,9 months
Muktinath Bikas Bank,,,,
Laxmi Sunrise,Fixed Deposit-1Yto<2Y,5.00%,0,1 year
Laxmi Sunrise,,,,
Mahalaxmi,Fixed Deposit-3Mto<6M,4.85%,0,3 months
Mahalaxmi Bikas Bank,,,,
Kumari Bank,Fixed Deposit-6Mto<1Y,4.81%,0,6 months
Kumari Bank,,,,
Nepal Bank,Fixed Deposit->2Yto5Y,4.75%,0,2.08 years
Nepal Bank Ltd.,,,,
Miteri Bikas,Fixed Deposit-3Mto6M,4.75%,0,3 months
Miteri Bikas Bank,,,,
Citizens Bank,Fixed Deposit-6Mto<1Y,4.75%,0,6 months
Citizens Bank Int'l,,,,
Best Finance,Fixed Deposit-3 month,4.75%,0,3 months
Best Finance Co.,,,,
Excel Bikas,Fixed Deposit-9M,4.65%,0,9 months
Excel Bikas Bank,,,,
Siddhartha,Fixed Deposit-3Mto<1Y,4.60%,0,3 months
Siddhartha Bank,,,,
Nepal SBI,Fixed Deposit-1Yto<2Y,4.51%,0,1 year
Nepal SBI Bank,,,,
Muktinath,Fixed Deposit-6M,4.50%,0,6 months
Muktinath Bikas Bank,,,,
Shine Resunga,Fixed Deposit-6Mto<1Y,4.50%,0,6 months
Shine Resunga BB,,,,
Jyoti Bikas,Fixed Deposit->1Yto<3Y,4.50%,0,1.08 years
Jyoti Bikas Bank,,,,
Garima Bikas,Fixed Deposit-1Yto<2Y,4.50%,0,1 year
Garima Bikas Bank,,,,
Kamana Sewa,Fixed Deposit-6Mto<1Y,4.50%,0,6 months
Kamana Sewa B.Bank,,,,
Himalayan,Fixed Deposit-9M,4.50%,0,9 months
Himalayan Bank,,,,
Everest Bank,Fixed Deposit->2Yto5Y,4.50%,0,2.08 years
Everest Bank,,,,
Global IME,Fixed Deposit-6Mto<1Y,4.50%,0,6 months
Global IME Bank,,,,
Citizens Bank,Fixed Deposit-3Mto<6M,4.50%,0,3 months
Citizens Bank Int'l,,,,
NMB Bank,Fixed Deposit->13Mto2Y,4.50%,0,1 year
NMB Bank,,,,
Laxmi Sunrise,Fixed Deposit-6Mto<1Y,4.50%,0,6 months
Laxmi Sunrise,,,,
Excel Bikas,Fixed Deposit-6M,4.40%,0,6 months
Excel Bikas Bank,,,,
ICFC Finance,Fixed Deposit-6Mto<1Y,4.40%,0,6 months
ICFC Finance Ltd,,,,
Kumari Bank,Fixed Deposit-3Mto<6M,4.31%,0,3 months
Kumari Bank,,,,
Nepal SBI,Fixed Deposit-6Mto<1Y,4.30%,0,6 months
Nepal SBI Bank,,,,
NIMB,Fixed Deposit-3Mto6M,4.25%,0,3 months
Nepal Investment Mega Bank,,,,
SCB,Fixed Deposit-1Yto<5Y,4.25%,0,1 year
Standard Chartered Bank,,,,
NMB Bank,Manyajan Muddati,4.25%,0,1 year
NMB Bank,,,,
NMB Bank,Fixed Deposit->6Mto13M,4.25%,0,7 months
NMB Bank,,,,
Everest Bank,Fixed Deposit-1Yto2Y,4.25%,0,1 year
Everest Bank,,,,
Krishi Bikas,Fixed Depsit-2Year,4.24%,0,2 years
Agricultural Dev. Bank,,,,
Excel Bikas,Fixed Deposit-3M,4.15%,0,3 months
Excel Bikas Bank,,,,
Global IME,Fixed Deposit-3Mto<6M,4.00%,0,3 months
Global IME Bank,,,,
Shangrila Dev.,Fixed Deposit-3Mto<6M,4.00%,0,3 months
Shangrila Bikas Bank,,,,
Jyoti Bikas,Fixed Deposit-1Year,4.00%,0,1 year
Jyoti Bikas Bank,,,,
Nepal Bank,Fixed Deposit-Upto2Year,4.00%,0,3 months
Nepal Bank Ltd.,,,,
Garima Bikas,Fixed Deposit-6Mto<1Y,4.00%,0,6 months
Garima Bikas Bank,,,,
Kamana Sewa,Fixed Deposit-3Mto<6M,4.00%,0,3 months
Kamana Sewa B.Bank,,,,
RBB,Fixed Deposit-3Mto1Y,4.00%,0,3 months
Rastriya Banijya Bank,,,,
SCB,Fixed Deposit-3Mto<1Y,4.00%,0,3 months
Standard Chartered Bank,,,,
Himalayan,Fixed Deposit-6M,4.00%,0,6 months
Himalayan Bank,,,,
Everest Bank,Fixed Deposit-3Mto<1Y,4.00%,0,3 months
Everest Bank,,,,
Laxmi Sunrise,Fixed Deposit-3Mto<6M,4.00%,0,3 months
Laxmi Sunrise,,,,
Krishi Bikas,Fixed Deposit-1Y,4.00%,0,1 year
Agricultural Dev. Bank,,,,
Sanima Bank,Fixed Deposit-3Mto6M,4.00%,0,3 months
Sanima Bank,,,,
NIC Asia,Fixed Deposit->3Mto<1Y,4.00%,0,4 months
NIC ASIA Bank,,,,
ICFC Finance,Fixed Deposit-3Mto<1Y,4.00%,0,3 months
ICFC Finance Ltd,,,,
Garima Bikas,Fixed Deposit-3Mto<6M,3.75%,0,3 months
Garima Bikas Bank,,,,
Machhapuchhre,Fixed Deposit-6Mto<1Y,3.75%,0,6 months
Machhapuchhre Bank,,,,
Jyoti Bikas,Fixed Deposit-6Mto<1Y,3.50%,0,6 months
Jyoti Bikas Bank,,,,
Nepal SBI,Fixed Deposit-3Mto<6M,3.50%,0,3 months
Nepal SBI Bank,,,,
Machhapuchhre,Fixed Deposit-3Mto<6M,3.50%,0,3 months
Machhapuchhre Bank,,,,
NIC Asia,Fixed Deposit-3M,3.50%,0,3 months
NIC ASIA Bank,,,,
Himalayan,Fixed Deposit-3M,3.25%,0,3 months
Himalayan Bank,,,,
Krishi Bikas,Fixed Deposit- 6M,3.25%,0,6 months
Agricultural Dev. Bank,,,,
Jyoti Bikas,Fixed Deposit-3M,3.00%,0,3 months
Jyoti Bikas Bank,,,,
Krishi Bikas,Fixed Deposit-3M,3.00%,0,3 months
Agricultural Dev. Bank,,,,
NMB Bank,Saral Muddati-3M,3.00%,0,3 months
NMB Bank,,,,
NMB Bank,Fixed Deposit-Upto6M,3.00%,0,3 months
NMB Bank,,,,
,,,,
"Updated as on: Mar 22, 2025",,,,
,,,,
Latest article,,,,
,,,,
Chaitra 2081 Interest Updated,,,,
22-Mar-25,,,,
,,,,
Base Rate Update Ongoing,,,,
16-Mar-25,,,,
Personal Loan,,,,
