Bank/FI,Name,Minimum Balance,Tenure (Months),Interest Rate (%),YoY Interest Rate Change (%),3-Year MA Interest Rate
Laxmi Sunrise,Fixed Deposit-2Yto<5Y,0.0,24.0,5.5,0.0,5.5
Siddhartha,Fixed Deposit-1Yto2Y,0.0,12.0,5.5,0.0,5.5
Prime Bank,Fixed Deposit-3Mto<6M,0.0,3.0,5.5,0.0,5.5
Progressive,Fixed Deposit-3M,0.0,3.0,5.5,0.0,5.5
Samriddhi Fin,Fixed Deposit-3M,0.0,3.0,5.5,0.0,5.5
Manjushree,Fixed Deposit-6Mto<1Y,0.0,6.0,5.5,0.0,5.5
Central Fin,Fixed Deposit-3M,0.0,3.0,5.5,0.0,5.5
NIC Asia,Fixed Deposit-1Yto<5Y,0.0,12.0,5.5,0.0,5.5
Nabil Bank,FD->2Yto5Y,0.0,24.96,5.5,0.0,5.5
NMB Bank,Fixed Deposit->2Yto3Y,0.0,24.96,5.5,0.0,5.5
Kumari Bank,Fixed Deposit-1Yto<2Y,0.0,12.0,5.41,-1.6363636363636358,5.47
Best Finance,Fixed Deposit->6Mto1Y,0.0,7.0,5.35,-1.1090573012939142,5.420000000000001
Citizens Bank,Fixed Deposit-1Yto<2Y,0.0,12.0,5.25,-1.869158878504662,5.336666666666667
Mahalaxmi,Fixed Deposit-1Yto<3Y,0.0,12.0,5.25,0.0,5.283333333333334
Lumbini Bikas,Fixed Deposit->1Yto2Y,0.0,12.96,5.25,0.0,5.25
Kamana Sewa,Fixed Deposit-1Yto<2Y,0.0,12.0,5.25,0.0,5.25
Goodwill Finan.,Fixed Deposit-3M,0.0,3.0,5.25,0.0,5.25
Nabil Bank,Fixed Deposit->1Yto2Y,0.0,12.96,5.25,0.0,5.25
Guheshwori,Fixed Deposit-3M,0.0,3.0,5.25,0.0,5.25
Manjushree,Fixed Deposit-3Mto<6M,0.0,3.0,5.25,0.0,5.25
Reliance Fin.,Fixed Deposit-3M,0.0,3.0,5.25,0.0,5.25
Mahalaxmi,Fixed Deposit-6M<1Y,0.0,6.0,5.15,-1.904761904761898,5.216666666666666
Lumbini Bikas,Fixed Deposit-6Mto1Y,0.0,6.0,5.1,-0.9708737864077777,5.166666666666667
Prabhu Bank,FD-6Mto1Y,0.0,6.0,5.1,0.0,5.116666666666666
Miteri Bikas,Fixed Deposit-6Mto9M,0.0,6.0,5.0,-1.9607843137254832,5.066666666666666
Shangrila Dev.,Fixed Deposit-6Mto<1Y,0.0,6.0,5.0,0.0,5.033333333333332
RBB,Fixed Deposit-1Yto2Y,0.0,12.0,5.0,0.0,5.0
Nabil Bank,Fixed Deposit-3Mto1Y,0.0,3.0,5.0,0.0,5.0
Nabil Bank,Cumulative FD,0.0,12.0,5.0,0.0,5.0
NIMB,Fixed Deposit->6Mto1Y,0.0,7.0,5.0,0.0,5.0
Himalayan,Fixed Deposit-1Yto2Y,0.0,12.0,5.0,0.0,5.0
Nepal SBI,Fixed Deposit-2Yto<3Y,0.0,24.0,5.0,0.0,5.0
Machhapuchhre,Fixed Deposit-1Yto<3Y,0.0,12.0,5.0,0.0,5.0
Sanima Bank,Fixed Depsit- >6Mto1Y,0.0,7.0,5.0,0.0,5.0
Best Finance,Fixed Deposit->3Mto6M,0.0,4.0,5.0,0.0,5.0
Global IME,Fixed Deposit-1Yto<2Y,0.0,12.0,5.0,0.0,5.0
Muktinath,Fixed Deposit-9Mto<1Y,0.0,9.0,5.0,0.0,5.0
Laxmi Sunrise,Fixed Deposit-1Yto<2Y,0.0,12.0,5.0,0.0,5.0
Mahalaxmi,Fixed Deposit-3Mto<6M,0.0,3.0,4.85,-3.0000000000000027,4.95
Kumari Bank,Fixed Deposit-6Mto<1Y,0.0,6.0,4.81,-0.8247422680412342,4.886666666666667
Nepal Bank,Fixed Deposit->2Yto5Y,0.0,24.96,4.75,-1.2474012474012364,4.803333333333334
Miteri Bikas,Fixed Deposit-3Mto6M,0.0,3.0,4.75,0.0,4.77
Citizens Bank,Fixed Deposit-6Mto<1Y,0.0,6.0,4.75,0.0,4.75
Best Finance,Fixed Deposit-3 month,0.0,3.0,4.75,0.0,4.75
Excel Bikas,Fixed Deposit-9M,0.0,9.0,4.65,-2.1052631578947323,4.716666666666667
Siddhartha,Fixed Deposit-3Mto<1Y,0.0,3.0,4.6,-1.0752688172043112,4.666666666666667
Nepal SBI,Fixed Deposit-1Yto<2Y,0.0,12.0,4.51,-1.9565217391304346,4.586666666666667
Muktinath,Fixed Deposit-6M,0.0,6.0,4.5,-0.22172949002217113,4.536666666666666
Shine Resunga,Fixed Deposit-6Mto<1Y,0.0,6.0,4.5,0.0,4.503333333333333
Jyoti Bikas,Fixed Deposit->1Yto<3Y,0.0,12.96,4.5,0.0,4.5
Garima Bikas,Fixed Deposit-1Yto<2Y,0.0,12.0,4.5,0.0,4.5
Kamana Sewa,Fixed Deposit-6Mto<1Y,0.0,6.0,4.5,0.0,4.5
Himalayan,Fixed Deposit-9M,0.0,9.0,4.5,0.0,4.5
Everest Bank,Fixed Deposit->2Yto5Y,0.0,24.96,4.5,0.0,4.5
Global IME,Fixed Deposit-6Mto<1Y,0.0,6.0,4.5,0.0,4.5
Citizens Bank,Fixed Deposit-3Mto<6M,0.0,3.0,4.5,0.0,4.5
NMB Bank,Fixed Deposit->13Mto2Y,0.0,12.0,4.5,0.0,4.5
Laxmi Sunrise,Fixed Deposit-6Mto<1Y,0.0,6.0,4.5,0.0,4.5
Excel Bikas,Fixed Deposit-6M,0.0,6.0,4.4,-2.2222222222222143,4.466666666666667
ICFC Finance,Fixed Deposit-6Mto<1Y,0.0,6.0,4.4,0.0,4.433333333333334
Kumari Bank,Fixed Deposit-3Mto<6M,0.0,3.0,4.31,-2.0454545454545614,4.37
Nepal SBI,Fixed Deposit-6Mto<1Y,0.0,6.0,4.3,-0.23201856148491462,4.336666666666667
