,Bank/FI,Name,Interest Rate,Minimum Balance,Tenure
445,Nepal SBI Bank,,,,
446,Machhapuchhre,Fixed Deposit-3Mto<6M,0.035,0.0,3 months
447,Machhapuchhre Bank,,,,
448,NIC Asia,Fixed Deposit-3M,0.035,0.0,3 months
449,NIC ASIA Bank,,,,
450,Himalayan,Fixed Deposit-3M,0.0325,0.0,3 months
451,Himalayan Bank,,,,
452,Krishi Bikas,Fixed Deposit- 6M,0.0325,0.0,6 months
453,Agricultural Dev. Bank,,,,
454,Jyoti Bikas,Fixed Deposit-3M,0.03,0.0,3 months
455,Jyoti Bikas Bank,,,,
456,Krishi Bikas,Fixed Deposit-3M,0.03,0.0,3 months
457,Agricultural Dev. Bank,,,,
458,NMB Bank,Saral Muddati-3M,0.03,0.0,3 months
459,NMB Bank,,,,
460,NMB Bank,Fixed Deposit-Upto6M,0.03,0.0,3 months
461,NMB Bank,,,,
462,,,,,
463,"Updated as on: Mar 22, 2025",,,,
464,,,,,
465,Latest article,,,,
466,,,,,
467,Chaitra 2081 Interest Updated,,,,
468,2025-03-22 00:00:00,,,,
469,,,,,
470,Base Rate Update Ongoing,,,,
471,2025-03-16 00:00:00,,,,
472,Personal Loan,,,,
